               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.029983,            0.052572,            0.013488,             0.94683,             0.94289,             0.97737,             0.79302,            0.017493,            0.032302,           0.0067635,            0.006436,            0.006436,            0.006436
                  38,             0.02989,            0.053415,            0.013581,             0.94407,             0.93899,             0.97769,             0.79991,            0.017335,            0.032166,           0.0062698,            0.006337,            0.006337,            0.006337
                  39,            0.029621,            0.052422,            0.013105,             0.96164,             0.94247,              0.9831,             0.80595,            0.016918,            0.031897,           0.0060322,            0.006238,            0.006238,            0.006238
                  40,            0.028833,            0.051571,            0.012019,             0.96484,             0.95187,             0.98385,              0.8119,            0.016576,            0.031581,           0.0057532,            0.006139,            0.006139,            0.006139
                  41,            0.028506,             0.05136,            0.012041,             0.96068,             0.95272,             0.98468,              0.8171,            0.016175,            0.031075,            0.005568,             0.00604,             0.00604,             0.00604
                  42,            0.028609,            0.051309,            0.011924,             0.95775,             0.95411,             0.98416,             0.80358,            0.016824,            0.031778,           0.0054663,            0.005941,            0.005941,            0.005941
                  43,            0.028447,            0.050976,            0.011873,             0.97104,             0.96374,             0.98659,             0.81937,            0.016204,            0.031033,           0.0051696,            0.005842,            0.005842,            0.005842
                  44,            0.028211,            0.051382,            0.011482,             0.96653,             0.95966,             0.98657,               0.815,            0.016258,            0.031117,           0.0049334,            0.005743,            0.005743,            0.005743
                  45,            0.028176,            0.050889,             0.01126,             0.96831,             0.95995,             0.98696,             0.82188,            0.015938,            0.030839,           0.0047951,            0.005644,            0.005644,            0.005644
                  46,            0.027966,             0.05087,            0.010988,             0.97163,              0.9649,             0.98873,             0.82951,            0.016105,            0.030355,           0.0046801,            0.005545,            0.005545,            0.005545
                  47,            0.027397,            0.049983,            0.010681,             0.97508,             0.96679,             0.98874,             0.82886,            0.015588,            0.030101,            0.004644,            0.005446,            0.005446,            0.005446
                  48,            0.027356,            0.049538,            0.010781,             0.97836,             0.96949,             0.98933,             0.82707,            0.015647,            0.030315,           0.0045367,            0.005347,            0.005347,            0.005347
                  49,            0.027173,              0.0494,            0.010377,             0.97654,             0.97271,             0.98944,             0.83163,            0.015492,            0.029996,           0.0042073,            0.005248,            0.005248,            0.005248
                  50,            0.026888,            0.049423,            0.010387,             0.97949,             0.97121,             0.98957,             0.83172,            0.015589,            0.030156,           0.0042846,            0.005149,            0.005149,            0.005149
                  51,            0.026693,            0.049425,            0.010109,             0.98247,             0.97308,              0.9904,             0.83395,            0.015191,            0.029634,           0.0040242,             0.00505,             0.00505,             0.00505
                  52,             0.02654,            0.048626,           0.0099348,             0.98348,             0.97223,             0.99021,             0.83869,            0.015433,            0.029548,           0.0039371,            0.004951,            0.004951,            0.004951
                  53,            0.026307,            0.048957,           0.0094847,              0.9849,             0.97644,             0.99107,             0.84087,            0.014839,            0.029211,           0.0037581,            0.004852,            0.004852,            0.004852
                  54,            0.026196,            0.048856,           0.0096689,              0.9839,             0.97547,             0.99065,             0.83753,            0.015063,            0.029108,           0.0035589,            0.004753,            0.004753,            0.004753
                  55,            0.026161,            0.048164,           0.0097159,             0.98259,             0.97564,             0.99036,             0.84013,            0.014968,            0.029325,           0.0036972,            0.004654,            0.004654,            0.004654
                  56,            0.026104,            0.048296,           0.0094522,             0.98605,             0.97743,             0.99088,             0.83703,            0.014899,            0.029174,            0.003532,            0.004555,            0.004555,            0.004555
                  57,            0.025385,            0.048185,           0.0094301,             0.98443,             0.97452,              0.9907,             0.84365,            0.014643,            0.028907,           0.0035232,            0.004456,            0.004456,            0.004456
                  58,            0.025477,            0.048188,           0.0091874,              0.9885,             0.97592,             0.99121,             0.84397,            0.014505,            0.028981,           0.0033458,            0.004357,            0.004357,            0.004357
                  59,             0.02538,            0.047417,           0.0090889,             0.98535,             0.97443,             0.99104,             0.84374,            0.014598,            0.028803,           0.0034613,            0.004258,            0.004258,            0.004258
                  60,            0.024945,             0.04682,           0.0090076,             0.98584,             0.97709,             0.99092,             0.84778,            0.014401,            0.028464,            0.003251,            0.004159,            0.004159,            0.004159
                  61,            0.024852,            0.046912,            0.008953,             0.98958,             0.97881,             0.99169,             0.84542,            0.014517,            0.028651,           0.0032289,             0.00406,             0.00406,             0.00406
                  62,            0.025012,            0.047304,           0.0088453,              0.9893,             0.97944,               0.992,             0.85022,            0.014214,            0.028627,           0.0030444,            0.003961,            0.003961,            0.003961
                  63,            0.024305,            0.046431,           0.0082659,             0.98821,              0.9802,              0.9918,             0.84593,            0.014481,            0.028368,           0.0030807,            0.003862,            0.003862,            0.003862
                  64,            0.024575,            0.046927,            0.008472,             0.98855,             0.97786,             0.99163,             0.85207,            0.014158,             0.02817,            0.003099,            0.003763,            0.003763,            0.003763
                  65,            0.024475,            0.046366,           0.0085251,             0.98794,             0.97682,             0.99107,               0.849,            0.014175,            0.028181,           0.0030072,            0.003664,            0.003664,            0.003664
                  66,            0.024011,            0.045767,           0.0082657,             0.98837,             0.97695,             0.99182,             0.85611,             0.01411,            0.027967,           0.0029237,            0.003565,            0.003565,            0.003565
                  67,            0.023852,            0.046032,           0.0082217,             0.98875,             0.97848,              0.9916,             0.85314,            0.013973,            0.028404,           0.0029582,            0.003466,            0.003466,            0.003466
                  68,             0.02382,            0.045881,           0.0080955,             0.98986,             0.97996,             0.99215,             0.85651,            0.013752,            0.027781,           0.0028381,            0.003367,            0.003367,            0.003367
                  69,            0.023586,            0.044658,           0.0083351,             0.98937,             0.97938,             0.99219,              0.8564,            0.013694,            0.027696,           0.0027107,            0.003268,            0.003268,            0.003268
                  70,            0.023493,            0.045242,           0.0079767,             0.98876,             0.98033,             0.99216,             0.85631,            0.013692,             0.02789,           0.0027367,            0.003169,            0.003169,            0.003169
                  71,            0.023243,            0.044738,             0.00773,             0.98973,             0.97994,             0.99213,             0.85805,            0.013527,            0.027554,           0.0026598,             0.00307,             0.00307,             0.00307
                  72,            0.023041,            0.044805,           0.0078603,             0.99057,             0.98158,             0.99226,             0.86018,            0.013552,            0.027219,           0.0025892,            0.002971,            0.002971,            0.002971
                  73,            0.023067,            0.044503,           0.0079632,             0.98946,             0.98093,             0.99223,             0.85876,            0.013555,             0.02744,           0.0025721,            0.002872,            0.002872,            0.002872
                  74,            0.022982,            0.045328,           0.0078118,             0.98995,             0.98191,              0.9923,             0.86079,            0.013466,            0.027388,           0.0025558,            0.002773,            0.002773,            0.002773
                  75,            0.022881,            0.044673,           0.0078344,             0.98933,             0.98183,             0.99226,             0.86197,            0.013419,            0.027155,           0.0024907,            0.002674,            0.002674,            0.002674
                  76,            0.022376,            0.043697,            0.007422,             0.99107,             0.98091,             0.99243,             0.86342,            0.013245,            0.027126,           0.0024141,            0.002575,            0.002575,            0.002575
                  77,            0.022419,            0.044441,           0.0074159,             0.99093,             0.98442,             0.99263,             0.86504,            0.013134,            0.026971,           0.0023679,            0.002476,            0.002476,            0.002476
                  78,            0.022169,            0.043986,           0.0073723,             0.99192,             0.98186,              0.9926,             0.86427,            0.013179,            0.026991,           0.0023843,            0.002377,            0.002377,            0.002377
                  79,            0.022332,             0.04364,           0.0073078,             0.99142,             0.98225,             0.99246,             0.86565,            0.013107,            0.026815,           0.0023302,            0.002278,            0.002278,            0.002278
                  80,            0.021832,            0.043231,           0.0071812,             0.99004,             0.98246,             0.99244,              0.8657,            0.012951,            0.026942,           0.0022921,            0.002179,            0.002179,            0.002179
                  81,            0.021995,            0.043487,           0.0074553,             0.99056,             0.98354,             0.99264,             0.86454,            0.013087,            0.026835,           0.0022616,             0.00208,             0.00208,             0.00208
                  82,            0.022087,            0.043977,           0.0073447,             0.99127,             0.98262,             0.99255,             0.86632,            0.012953,            0.026622,           0.0022682,            0.001981,            0.001981,            0.001981
                  83,            0.021555,            0.043246,           0.0073243,             0.99132,             0.98126,             0.99257,             0.86701,            0.012928,            0.026709,           0.0022033,            0.001882,            0.001882,            0.001882
                  84,            0.021601,            0.042999,           0.0070279,              0.9905,             0.98342,             0.99252,             0.86729,            0.012813,            0.026629,           0.0022122,            0.001783,            0.001783,            0.001783
                  85,            0.021388,            0.043198,           0.0069737,             0.99022,             0.98298,             0.99258,             0.86932,            0.012792,             0.02652,           0.0021523,            0.001684,            0.001684,            0.001684
                  86,            0.021103,            0.042764,           0.0068173,             0.99136,             0.98136,             0.99248,              0.8695,            0.012747,            0.026411,           0.0021363,            0.001585,            0.001585,            0.001585
                  87,            0.020916,            0.043018,           0.0067655,             0.99168,             0.98286,             0.99269,              0.8713,            0.012658,            0.026283,           0.0020821,            0.001486,            0.001486,            0.001486
                  88,            0.021004,            0.042309,           0.0067284,             0.99197,             0.98404,             0.99266,              0.8718,            0.012594,            0.026408,           0.0020345,            0.001387,            0.001387,            0.001387
                  89,            0.020498,            0.042457,           0.0066835,             0.99257,             0.98358,             0.99282,             0.87176,            0.012599,            0.026354,           0.0020431,            0.001288,            0.001288,            0.001288
                  90,            0.020771,            0.041788,           0.0067724,             0.99149,              0.9832,              0.9928,             0.87081,            0.012671,            0.026371,           0.0020171,            0.001189,            0.001189,            0.001189
                  91,            0.020687,            0.042204,           0.0065865,             0.99133,             0.98341,             0.99281,             0.87284,            0.012551,            0.026097,           0.0019751,             0.00109,             0.00109,             0.00109
                  92,            0.020353,            0.042194,           0.0065676,             0.99106,             0.98293,             0.99278,             0.87284,            0.012522,            0.026212,            0.001974,            0.000991,            0.000991,            0.000991
                  93,            0.020519,            0.041882,           0.0066418,             0.99233,             0.98396,             0.99279,             0.87364,            0.012446,            0.026128,            0.001947,            0.000892,            0.000892,            0.000892
                  94,            0.020168,             0.04102,            0.006506,             0.99202,             0.98339,             0.99284,             0.87394,            0.012393,            0.026038,           0.0019073,            0.000793,            0.000793,            0.000793
                  95,            0.020227,             0.04157,           0.0065136,             0.99044,             0.98403,             0.99283,             0.87431,            0.012381,            0.025993,           0.0019235,            0.000694,            0.000694,            0.000694
                  96,            0.020078,            0.041304,           0.0063817,             0.99342,             0.98271,             0.99287,             0.87614,            0.012335,             0.02604,           0.0019008,            0.000595,            0.000595,            0.000595
                  97,            0.019884,            0.041427,            0.006292,             0.99293,             0.98227,             0.99283,             0.87539,            0.012306,            0.025956,           0.0018903,            0.000496,            0.000496,            0.000496
                  98,            0.020026,            0.041604,            0.006392,             0.99193,             0.98387,             0.99288,             0.87577,            0.012301,            0.025935,           0.0018741,            0.000397,            0.000397,            0.000397
                  99,            0.019674,            0.040913,           0.0062218,              0.9928,             0.98377,             0.99306,             0.87567,            0.012259,            0.025974,            0.001859,            0.000298,            0.000298,            0.000298
